Code,Stock,Type,Theoretical Quantity,Segment Area,Segment Code,Segment Name
YDUQ3,YDUQS PART,ON NM,300833122,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
ABCB4,ABC BRASIL,PN N2,109742538,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
BRSR6,BANRISUL,PNB N1,321734820,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
BBSE3,BBSEGURIDADE,ON NM,1066974264,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
BBDC3,BRADESCO,ON N1,663965977,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
BBDC4,BRADESCO,PN N1,548618772,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
BBAS3,BRASIL,ON EJ NM,449284034,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
CCRO3,CCR SA,ON NM,1271991841,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
CMIG3,CEMIG,ON N1,440872085,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
CMIG4,CEMIG,PN N1,918244037,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
CESP6,CESP,PNB N1,289159624,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
CSMG3,COPASA,ON NM,299369573,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
CPLE3,COPEL,ON N1,508004506,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
CPLE6,COPEL,PNB N1,1772962657,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
CPFE3,CPFL ENERGIA,ON NM,298238432,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
ELET3,ELETROBRAS,ON N1,334865464,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
ELET6,ELETROBRAS,PNB N1,360259119,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
ENAT3,ENAUTA PART,ON NM,121744925,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
ENBR3,ENERGIAS BR,ON NM,367752216,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
EGIE3,ENGIE BRASIL,ON NM,404895805,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
ROMI3,INDS ROMI,ON NM,59212642,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
ITSA4,ITAUSA,PN N1,1163678412,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
ITUB3,ITAUUNIBANCO,ON N1,445468169,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
ITUB4,ITAUUNIBANCO,PN N1,377598432,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
PETR4,PETROBRAS,PN N2,488745336,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
BRDT3,PETROBRAS BR,ON EJ NM,989908792,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
PSSA3,PORTO SEGURO,ON NM,144457418,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
SAPR4,SANEPAR,PN N2,322752221,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
SANB11,SANTANDER BR,UNT,409942616,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
SYNE3,SYN PROP TEC,ON NM,94778145,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
TAEE11,TAESA,UNT N2,347225090,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
TGMA3,TEGMA,ON NM,50838663,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
VIVT3,TELEF BRASIL,ON,495256524,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
TRPL4,TRAN PAULIST,PN N1,628776936,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
WIZS3,WIZ S.A.,ON NM,123183894,Segments and Sectors,IDIV,BM&FBOVESPA Dividend Index (IDIV)
AESB3,AES BRASIL,ON NM,12300,Segments and Sectors,IEEX,BM&FBOVESPA Electric Utilities Index (IEE)
ALUP11,ALUPAR,UNT N2,7500,Segments and Sectors,IEEX,BM&FBOVESPA Electric Utilities Index (IEE)
COCE5,COELCE,PNA,3100,Segments and Sectors,IEEX,BM&FBOVESPA Electric Utilities Index (IEE)
ENGI11,ENERGISA,UNT N2,4200,Segments and Sectors,IEEX,BM&FBOVESPA Electric Utilities Index (IEE)
ENEV3,ENEVA,ON NM,11600,Segments and Sectors,IEEX,BM&FBOVESPA Electric Utilities Index (IEE)
EQTL3,EQUATORIAL,ON NM,7200,Segments and Sectors,IEEX,BM&FBOVESPA Electric Utilities Index (IEE)
LIGT3,LIGHT S/A,ON NM,12700,Segments and Sectors,IEEX,BM&FBOVESPA Electric Utilities Index (IEE)
NEOE3,NEOENERGIA,ON NM,11200,Segments and Sectors,IEEX,BM&FBOVESPA Electric Utilities Index (IEE)
OMGE3,OMEGA GER,ON NM,5400,Segments and Sectors,IEEX,BM&FBOVESPA Electric Utilities Index (IEE)
B3SA3,B3,ON NM,6079530858,Segments and Sectors,IFNC,BM&FBOVESPA Financials Index (IFNC)
BMGB4,BANCO BMG,PN N1,100300860,Segments and Sectors,IFNC,BM&FBOVESPA Financials Index (IFNC)
BIDI4,BANCO INTER,PN N2,186303277,Segments and Sectors,IFNC,BM&FBOVESPA Financials Index (IFNC)
BIDI11,BANCO INTER,UNT N2,477617336,Segments and Sectors,IFNC,BM&FBOVESPA Financials Index (IFNC)
BPAN4,BANCO PAN,PN N1,341124068,Segments and Sectors,IFNC,BM&FBOVESPA Financials Index (IFNC)
BOAS3,BOA VISTA,ON NM,531381332,Segments and Sectors,IFNC,BM&FBOVESPA Financials Index (IFNC)
BPAC11,BTGP BANCO,UNT N2,1301655996,Segments and Sectors,IFNC,BM&FBOVESPA Financials Index (IFNC)
CXSE3,CAIXA SEGURI,ON NM,517500000,Segments and Sectors,IFNC,BM&FBOVESPA Financials Index (IFNC)
CIEL3,CIELO,ON NM,1144359228,Segments and Sectors,IFNC,BM&FBOVESPA Financials Index (IFNC)
CARD3,CSU CARDSYST,ON NM,18217771,Segments and Sectors,IFNC,BM&FBOVESPA Financials Index (IFNC)
SULA11,SUL AMERICA,UNT N2,284771028,Segments and Sectors,IFNC,BM&FBOVESPA Financials Index (IFNC)
AERI3,AERIS,ON NM,218058827,Segments and Sectors,INDX,BM&FBOVESPA Industrials Index (INDX)
EMBR3,EMBRAER,ON NM,734558205,Segments and Sectors,INDX,BM&FBOVESPA Industrials Index (INDX)
INTB3,INTELBRAS,ON NM,82226741,Segments and Sectors,INDX,BM&FBOVESPA Industrials Index (INDX)
POMO4,MARCOPOLO,PN N2,557765916,Segments and Sectors,INDX,BM&FBOVESPA Industrials Index (INDX)
