IGCX - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
PMAM3,PARANAPANEMA,ON      NM,86807698,0.021,
PETR3,PETROBRAS,ON      N2,5526090268,3.279,
PETR4,PETROBRAS,PN      N2,6849766687,3.971,
BRDT3,PETROBRAS BR,ON  EJ  NM,2329205130,1.324,
RECV3,PETRORECSA,ON      NM,462480478,0.180,
PRIO3,PETRORIO,ON      NM,1678318260,0.779,
PETZ3,PETZ,ON      NM,516815688,0.308,
PINE4,PINE,PN      N2,81168534,0.004,
PLPL3,PLANOEPLANO,ON      NM,132768600,0.011,
PSSA3,PORTO SEGURO,ON      NM,181863602,0.210,
PTBL3,PORTOBELLO,ON      NM,132538352,0.035,
POSI3,POSITIVO TEC,ON      NM,156107446,0.044,
PRNR3,PRINER,ON      NM,76182110,0.014,
PFRM3,PROFARMA,ON      NM,174999556,0.022,
QUAL3,QUALICORP,ON      NM,567340074,0.290,
LJQQ3,QUERO-QUERO,ON      NM,358353838,0.146,
RADL3,RAIADROGASIL,ON      NM,2142153810,1.242,
RAIZ4,RAIZEN,PN      N2,1894553325,0.300,
RAPT3,RANDON PART,ON      N1,21308966,0.006,
RAPT4,RANDON PART,PN      N1,177628801,0.047,
RDOR3,REDE D OR,ON  EDJ NM,1859802866,2.889,
RDNI3,RNI,ON      NM,30099670,0.008,
RSID3,ROSSI RESID,ON      NM,32283878,0.007,
RAIL3,RUMO S.A.,ON      NM,2432112206,0.954,
SBSP3,SABESP,ON      NM,680003868,0.530,
SAPR4,SANEPAR,PN      N2,304744897,0.026,
SAPR11,SANEPAR,UNT     N2,301614559,0.126,
STBP3,SANTOS BRP,ON      NM,1715643378,0.288,
SCAR3,SAO CARLOS,ON      NM,49893856,0.042,
SMTO3,SAO MARTINHO,ON      NM,285690212,0.207,
SEQL3,SEQUOIA LOG,ON      NM,156021518,0.061,
SEER3,SER EDUCA,ON      NM,108677014,0.030,
SIMH3,SIMPAR,ON      NM,450505616,0.144,
SQIA3,SINQIA,ON      NM,154099476,0.076,
SLCE3,SLC AGRICOLA,ON      NM,178085394,0.175,
SMFT3,SMART FIT,ON      NM,487609532,0.287,
SGPS3,SPRINGS,ON      NM,46817282,0.009,
SULA11,SUL AMERICA,UNT     N2,427156542,0.267,
SUZB3,SUZANO S.A.,ON      NM,1453558562,1.768,
SYNE3,SYN PROP TEC,ON      NM,119320248,0.029,
TAEE11,TAESA,UNT     N2,327852351,0.272,
TASA3,TAURUS ARMAS,ON      N2,11693211,0.006,
TASA4,TAURUS ARMAS,PN      N2,93052143,0.047,
TRAD3,TC,ON      NM,173880424,0.029,
TECN3,TECHNOS,ON      NM,127000956,0.011,
TCSA3,TECNISA,ON      NM,104761412,0.013,
