ITAG - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
PRIO3,PETRORIO,ON      NM,839159130,0.690,
PTNT4,PETTENATI,PN,31585060,0.008,
PETZ3,PETZ,ON      NM,258407844,0.273,
PINE4,PINE,PN      N2,54112356,0.004,
PLPL3,PLANOEPLANO,ON      NM,66384300,0.010,
PSSA3,PORTO SEGURO,ON      NM,90931801,0.186,
PTBL3,PORTOBELLO,ON      NM,66269176,0.031,
POSI3,POSITIVO TEC,ON      NM,78053723,0.039,
PRNR3,PRINER,ON      NM,38091055,0.013,
PFRM3,PROFARMA,ON      NM,87499778,0.019,
QUAL3,QUALICORP,ON      NM,283670037,0.257,
LJQQ3,QUERO-QUERO,ON      NM,179176919,0.130,
RADL3,RAIADROGASIL,ON      NM,1071076905,1.101,
RAIZ4,RAIZEN,PN      N2,1263035550,0.354,
RAPT4,RANDON PART,PN      N1,177628801,0.084,
RDOR3,REDE D OR,ON  EDJ NM,929901433,2.561,
RDNI3,RNI,ON      NM,15049835,0.007,
RSID3,ROSSI RESID,ON      NM,16141939,0.006,
RAIL3,RUMO S.A.,ON      NM,1216056103,0.846,
SBSP3,SABESP,ON      NM,340001934,0.470,
SAPR4,SANEPAR,PN      N2,203163265,0.031,
SAPR11,SANEPAR,UNT     N2,201076373,0.149,
SANB11,SANTANDER BR,UNT,362703399,0.522,
STBP3,SANTOS BRP,ON      NM,857821689,0.255,
SCAR3,SAO CARLOS,ON      NM,24946928,0.037,
SMTO3,SAO MARTINHO,ON      NM,142845106,0.184,
SEQL3,SEQUOIA LOG,ON      NM,78010759,0.054,
SEER3,SER EDUCA,ON      NM,54338507,0.027,
SIMH3,SIMPAR,ON      NM,225252808,0.128,
SQIA3,SINQIA,ON      NM,77049738,0.067,
SLCE3,SLC AGRICOLA,ON      NM,89042697,0.155,
SMFT3,SMART FIT,ON      NM,243804766,0.254,
SGPS3,SPRINGS,ON      NM,23408641,0.008,
SULA11,SUL AMERICA,UNT     N2,284771028,0.315,
SUZB3,SUZANO S.A.,ON      NM,726779281,1.568,
SYNE3,SYN PROP TEC,ON      NM,59660124,0.026,
TAEE11,TAESA,UNT     N2,218568234,0.321,
TASA3,TAURUS ARMAS,ON      N2,7795474,0.007,
TASA4,TAURUS ARMAS,PN      N2,62034762,0.056,
TRAD3,TC,ON      NM,86940212,0.026,
TECN3,TECHNOS,ON      NM,63500478,0.009,
TCSA3,TECNISA,ON      NM,52380706,0.012,
TGMA3,TEGMA,ON      NM,32001480,0.021,
TEND3,TENDA,ON      NM,96139516,0.072,
LAND3,TERRASANTAPA,ON      NM,30558664,0.020,
TIMS3,TIM,ON      NM,808619532,0.389,
SHOW3,TIME FOR FUN,ON      NM,34484939,0.007,
TOTS3,TOTVS,ON      NM,480960677,0.735,
TFCO4,TRACK FIELD,PN      N2,54241204,0.035,
TRIS3,TRISUL,ON      NM,83225626,0.025,
TPIS3,TRIUNFO PART,ON      NM,74237233,0.010,
TUPY3,TUPY,ON      NM,67547494,0.052,
UGPA3,ULTRAPAR,ON      NM,1084337016,0.615,
UCAS3,UNICASA,ON      NM,28508438,0.005,
FIQE3,UNIFIQUE,ON      NM,101099463,0.028,
VALE3,VALE,ON      NM,5119956209,17.730,
VLID3,VALID,ON      NM,78269230,0.025,
VAMO3,VAMOS,ON      NM,200729920,0.128,
VIIA3,VIA,ON      NM,1595895585,0.546,
VITT3,VITTIA,ON      NM,44418605,0.016,
VIVA3,VIVARA S.A.,ON      NM,99446859,0.123,
VVEO3,VIVEO,ON      NM,115680492,0.113,
VULC3,VULCABRAS,ON      NM,73766391,0.027,
LVTC3,WDC NETWORKS,ON      NM,19400000,0.018,
WEGE3,WEG,ON      NM,1484859030,2.333,
WEST3,WESTWING,ON      NM,108526910,0.025,
WIZS3,WIZ S.A.,ON      NM,77540728,0.040,
YDUQ3,YDUQS PART,ON      NM,300833122,0.296,
Total Theorethical Quantity,,,105966211753,100.000
Reductor,,,99203123.54539603
